2017-06-22 21:06:48,356 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55043 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55043 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:53,364 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55047 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55047 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:06:58,711 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55065 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55065 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:07:03,715 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55080 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55080 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:07:08,721 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55086 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55086 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:07:13,725 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55097 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55097 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2017-06-22 21:07:14,113 | WARN  | Transport Connection to: tcp://127.0.0.1:55001 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55001@61616
2017-06-22 21:07:14,113 | WARN  | Transport Connection to: tcp://127.0.0.1:54999 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54999@61616
2017-06-22 21:07:14,113 | WARN  | Transport Connection to: tcp://127.0.0.1:55000 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55000@61616
2017-06-22 21:07:18,731 | WARN  | Transport Connection to: ws://0:0:0:0:0:0:0:1:55098 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive (no connection attempt made) for too (>30000) long: ws://0:0:0:0:0:0:0:1:55098 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
